----0000,la Loire
----0010,La Seine
A---0000,Le Rhin
A---0030,L'Ill
A---0060,La Moselle
A02-0200,Ruisseau l'Augraben
A0260340,Ruisseau le Riedgraben
A11-0200,La Largue
A12-0200,La Doller
A14-0200,La Thur
A15-0200,La Lauch
A2--0100,La Fecht
A2--0110,La Bruche
A2020300,Ruisseau la Petite Fecht
A2220660,Ruisseau le Riedbrunnen
A25-0200,L'Andlau
A2550630,Ruisseau Schernetz
A26-0200,Ruisseau l'Ehn
A29-0200,La Souffel
A3--0100,La Moder
A3--0110,La Sauer
A32-0200,La Zinsel du Nord
A34-0200,La Zorn
A36-0210,Ruisseau l'Eberbach
A38-0200,La Lauter
A4170300,Ruisseau de la Cleurie
A4330300,Ruisseau le Neune
A5--0100,Le Madon
A54-0200,Le Brenon
A6--0100,La Meurthe
A6--0110,La Vezouze
A6--0120,La Mortagne
A62-0200,La Plaine
A68-0200,Le Sanon
A7--0100,La Seille
A76-0200,La Petite Seille
A8--0100,L'Orne
A8830300,Ruisseau d'Oudrenne
A8850300,Ruisseau l'Altbach
A8880300,Ruisseau d'Apach
A8920300,Ruisseau de Volmerange
A9--0100,La Sarre
A9--0120,La Nied
A91-0200,L'Albe
A93-0210,La Horn
A9950300,Ruisseau Remel
B---0000,La Meuse
B12-0200,Le Vair
B2110300,Ruisseau la Meholle
B4--0100,La Chiers
B4010300,Ruisseau la Moulaine
B4110300,Ruisseau la Pienne
B4120350,Ruisseau de Nanheul
B4210300,Ruisseau le Dorlon
B4230430,Le Thon
B43-0200,L'Othain
B4620300,Ruisseau la Marche
B5000300,Ruisseau de la Givonne
B51-0200,La Bar
B55-0200,La Sormonne
B6--0100,La Semoy
B7050480,Ruisseau d'Alyse
B71-0200,L'Eau Noire
B73-0200,La Houille
D0--022-,La Sambre Canalisée
D0130700,Helpe Mineure
D0200600,Solre
E1280600,Rivière Escaut
E1560600,Sensée
E1760600,Rhonelle
E1820700,Hogneau
E2--0110,La Scarpe Canalisée
E3--0120,La Lys
E3660600,La Lawe
E4030570,Rivière Aa
E4100600,Tiret
E5100570,Slack
E5400650,Ternoise
E5500570,Authie
E6---140,La Somme Rivière
E6--009-,La Somme Canalisée
E6380600,Ancre
E6400600,Avre
E6420650,Evoissons
E6450800,Rivière d'Airaines
E6490830,Maye
F---0100,La Marne
F04-0400,L'Ource
F0406000,La Groeme
F0520600,La Sarce
F08-0400,La Barse
F1--0200,L'Aube
F11-0400,L'Aujon
F12-0400,La Voire
F1230600,La Heronne
F15-0400,La Superbe
F1510600,La Barbuise
F2040600,L'Ardusson
F24-0400,L'Auxence
F3--0200,L'Yonne
F31-0400,La Cure
F3110600,Le Chalaux
F32-0400,Le Serein
F3350600,L'Oze
F3427000,Ruisseau de Tremagne
F3531000,Le Vrin
F4--0210,L'Yerres
F41-0400,L'Ouanne
F4280600,La Clery
F4380600,Le Lunain
F44-0400,L'Almont
F4480600,L'Ecole
F45-0400,L'Essonne
F46-0400,L'Orge
F46-0420,L'Yvette
F48-0400,Le Reveillon
F5--0200,La Saulx
F51-0400,Le Rognon
F53-0400,La Blaise
F58-0400,La Chee
F6070600,La Coole
F6090600,La Somme-Soude
F61-0400,Le Surmelin
F65-0400,Le Grand Morin
F70-0400,La Bievre
G2--0200,L'Arques
G7--0200,Rivière de Valmont
H---0100,L'Oise
H0010600,Le Gland
H0030600,Le Ton
H01-0400,La Serre
H01-0410,Le Vilpion
H02-0400,L'Ailette
H1--0200,L'Aisne
H11-0400,L'Aire
H1181001,L'Aire
H1220600,La Fournelle
H13-0400,La Vaux
H13-0410,La Suippe
H1360600,La Retourne
H15-0400,La Vesle
H20-0420,La Breche
H2020600,Rivière Sainte-Marie
H21-0400,Le Therain
H2130600,L'Avelon
H2258000,L'Esches
H2269000,Le Sausseron
H2280600,La Viosne
H30-0400,La Mauldre
H31-0400,L'Epte
H3109000,Ruisseau de Mesangueville
H32-0400,L'Andelle
H3239000,Le Heron
H3249000,Le Crevon
H4--0200,L'Eure
H41-0410,La Blaise
H43-0400,L'Iton
H5040600,Le Cailly
H5111000,La Rancon
H5130600,Rivière du Commerce
H6--0200,La Risle
H61-0400,La Charentonne
H6110600,La Guiel
I0--0200,La Touques
I13-0400,La Vie
I1330600,La Monne
I14-0400,La Muance
I2--0200,L'Orne
I21-0400,L'Ure
I2129000,L'Houay
I2239000,La Fontaine au Heron
I23-0400,La Rouvre
I24-0400,Le Noireau
I2529000,Le Vieux Ruisseau
I4--0200,La Vire
I42-0400,La Souleuvre
I4310600,Rivière de Jacre la
I45-0420,La Drome
I52-0400,La Taute
I63-0400,La Saire
I6607200,Ruisseau de la Grande Vallee
I7--0200,La Sienne
I71-0400,L'Airou
I8--0200,La See
I8004000,La See Rousse
I8040600,Le Glanon
I9--0200,La Selune
I90-0400,La Cance
J---0060,la Vilaine
J0--0150,le Couesnon
J0--0160,la Rance
J0144000,la Loisance
J0216200,la Chênelais
J1--0170,le Trieux
J1114000,la Rosette
J13-0300,gouessant
J2034000,le Guindy
J22-0300,le Léguer
J2314000,le Yar
J3--0180,l'Aulne
J34-0300,l'Elorn
J3514000,la Mignonne
J3624000,l'Ellez
J3834900,ruisseau de Kerambellec
J4--0200,l'Ellé
J4124000,le Pont l'Abbé
J4224000,le Jet
J48-0300,l'Isole
J5--0210,le Blavet
J5--0220,le Scorff
J5524000,la Sarre
J56-0300,l'Evel
J7114000,l'Illet
J7214000,la Flume
J76-0300,le Semnon
J78-0300,la Chère
J7824000,l'Aron
J79-0300,le Don
J8--0230,l'Oust
J8--0240,l'Aff
J8214000,le Sédon
J83-0310,l'Yvel
J84-0300,la Claie
