code_cours_eau,code_region
V5030500,84
V5050540,84
V52-0400,84
V5310720,84
V5410500,84
V5410520,84
V5440580,84
V6--0200,84
V6030500,84
V6150500,84
V71-0400,84
V7110500,84
V7130500,84
V7150500,84
V7150620,84
V7180500,84
W---0000,84
W1060700,84
W12-0400,84
W1400560,84
W2--0200,84
W2010500,84
W2210500,84
W23-0400,84
W25-0400,84
W27-0400,84
W2730500,84
W33-0400,84
W3330500,84
W3420500,84
X---0000,84
X0000500,84
X02-0400,84
X0240500,84
X04-0400,84
X0500540,84
X10-0400,84
X1050500,84
X1100500,84
X1220500,84
X14-0400,84
X2--0200,93
X2300500,93
X27-0400,93
X3010560,93
X34-0400,93
Y02-0400,76
Y0230560,76
Y04-0400,76
Y06-0400,76
Y0610500,76
Y0620520,76
Y0650500,76
Y1--0200,76
Y1000580,76
Y1100500,76
Y1340500,76
Y1410500,76
Y1410520,76
Y15-0400,76
Y2--0200,76
Y2030500,76
Y2110520,76
Y2120500,76
Y25-0400,76
Y2520500,76
Y2540500,76
Y2560520,76
Y32-0400,76
Y3310500,76
